mechanism,point_estimate,P_gt_0,n_bootstrap,seed,source_level_bootstrap_ci_lo,source_level_bootstrap_ci_hi
prefix_injection,0.06626558303833008,1.0,2000,20260829,0.052299048751592636,0.07913905382156372
refusal_suppression,-0.308453768491745,0.0,2000,20260829,-0.32598936557769775,-0.2895444333553314
persona_roleplay,0.12677502632141113,1.0,2000,20260829,0.11310762166976929,0.13880255818367004
encoding_obfuscation,0.21063104271888733,1.0,2000,20260829,0.1971350610256195,0.22359217703342438
payload_splitting,0.18004322052001953,1.0,2000,20260829,0.1664072871208191,0.19262389838695526
distractors_negated,-0.08208662271499634,0.0,2000,20260829,-0.09338964521884918,-0.07024485617876053
