mechanism,raw_or_pc,estimator,direction_norm,mean_cosine_to_mean_direction,min_cosine_to_mean_direction,mean_direction_energy_fraction
prefix_injection,raw,mean,4.846827030181885,0.7592607736587524,0.43981850147247314,0.6060674233685672
prefix_injection,raw,median,4.799607276916504,0.7589146494865417,0.4182881712913513,0.6009259127046702
prefix_injection,raw,trimmed_mean,4.821043491363525,0.759747326374054,0.42894622683525085,0.6044773374340839
prefix_injection,placebo_calibrated,mean,5.531630516052246,0.7872862815856934,0.4576416611671448,0.6435767916343358
prefix_injection,placebo_calibrated,median,5.549582004547119,0.7866727709770203,0.4578774571418762,0.6369274810084498
prefix_injection,placebo_calibrated,trimmed_mean,5.527751445770264,0.7878110408782959,0.462678998708725,0.6417450640436355
refusal_suppression,raw,mean,5.958407402038574,0.7813037633895874,0.26956260204315186,0.6183025744492111
refusal_suppression,raw,median,6.009877681732178,0.7803120613098145,0.2506049871444702,0.6153750595374562
refusal_suppression,raw,trimmed_mean,5.990306854248047,0.7814134955406189,0.25939226150512695,0.6176992688271636
refusal_suppression,placebo_calibrated,mean,5.581336498260498,0.7885205149650574,0.2833504378795624,0.6168852635468197
refusal_suppression,placebo_calibrated,median,5.518126487731934,0.7885850667953491,0.2531975507736206,0.6104117687204506
refusal_suppression,placebo_calibrated,trimmed_mean,5.548888683319092,0.7892791032791138,0.2663523256778717,0.6145064424675332
persona_roleplay,raw,mean,3.6443941593170166,0.723849356174469,0.3154546022415161,0.51965087365645
persona_roleplay,raw,median,3.6646668910980225,0.7228816747665405,0.2915568947792053,0.5171324134770936
persona_roleplay,raw,trimmed_mean,3.651412010192871,0.7239530682563782,0.29932403564453125,0.5190865731577524
persona_roleplay,placebo_calibrated,mean,4.454283714294434,0.7695208787918091,0.26429569721221924,0.5795249660138309
persona_roleplay,placebo_calibrated,median,4.441746711730957,0.768995463848114,0.23674321174621582,0.5746750266766226
persona_roleplay,placebo_calibrated,trimmed_mean,4.451965808868408,0.7700057029724121,0.24459955096244812,0.5779919865644275
