g_definition,statistic,mean,median,ci_lo,ci_hi,n,interval_name,n_splits,seed,sign_proportion_positive
unit_normalized,Delta_CO_perp,0.07784789055585861,0.07840391248464584,0.07303514331579208,0.0797688215970993,500,repeated_split_stability_interval,500,20260829,1.0
unit_normalized,Delta_MG_perp,0.1714901179075241,0.17110683023929596,0.16996578872203827,0.17524126172065735,500,repeated_split_stability_interval,500,20260829,1.0
unit_normalized,V_bilateral,0.07784789055585861,0.07840391248464584,0.07303514331579208,0.0797688215970993,500,repeated_split_stability_interval,500,20260829,1.0
unit_normalized,A_refusal_perp,-0.34578150510787964,-0.3458963930606842,-0.3491559624671936,-0.3412558436393738,500,repeated_split_stability_interval,500,20260829,0.0
raw_magnitude,Delta_CO_perp,0.14356839656829834,0.14408737421035767,0.1384507268667221,0.145613893866539,500,repeated_split_stability_interval,500,20260829,1.0
raw_magnitude,Delta_MG_perp,-0.009457249194383621,-0.010497567243874073,-0.012550820596516132,0.00016102661902550608,500,repeated_split_stability_interval,500,20260829,0.028
raw_magnitude,V_bilateral,-0.009457249194383621,-0.010497567243874073,-0.012550820596516132,0.00016102661902550608,500,repeated_split_stability_interval,500,20260829,0.028
raw_magnitude,A_refusal_perp,-0.07554854452610016,-0.07420545071363449,-0.08923689275979996,-0.06873839348554611,500,repeated_split_stability_interval,500,20260829,0.0
